investor_id,company_id
Sequoia Capital China,1
SIG Asia Investments,1
Sina Weibo,1
Softbank Group,1
Founders Fund,2
Draper Fisher Jurvetson,2
Rothenberg Ventures,2
Tiger Global Management,3
Sequoia Capital China,3
Shunwei Capital Partners,3
Khosla Ventures,4
LowercaseCapital,4
capitalG,4
Sequoia Capital China,5
Blackbird Ventures,5
Matrix Partners,5
Tiger Global Management,6
Insight Partners,6
DST Global,6
index Ventures,7
DST Global,7
Ribbit Capital,7
Tencent Holdings,8
KKR,8
Smash Ventures,8
Andreessen Horowitz,9
New Enterprise Associates,9
Battery Ventures,9
SoftBank Group,10
Andreessen Horowitz,10
Temasek Holdings,10
Forerunner Ventures,11
Crosslink Capital,11
Homebrew,11
Khosla Ventures,12
GGV Capital,13
ZhenFund,13
Tencent,13
Hillhouse Capital Management,14
Boyu Capital,14
Sequoia Capital China,14
Accel,15
AltaIR Capital,15
Technology Crossover Ventures,15
Tencent Holdings,16
Warbug Pincus,16
IDG Capital,16
Accel Partners,17
Sequoia Capital,17
Benchmark,18
Greylock Partners,18
Tencent Holdings,18
Accel,19
Softbank Group,19
Anthos Capital,19
Sequoia Capital China,20
Longfor Capital,20
Gaorong Capital,20
IDG Capital,21
Venture51,21
Lightspeed Venture Partners,21
Lightspeed Venture Partners,22
Google Ventures,22
Lakestar,22
New Enterprise Associates,23
Spar Capital,23
Index Ventures,23
Andreessen Horowitz,24
Thirty Five Ventures,24
Sound Ventures,24
Accel,25
83North,25
General Catalyst,26
Institutional Venture Partners,26
Breyer Capital,26
Andreessen Horowitz,27
F-Prime Capital,27
Venrock,27
Khosla Ventures,28
Forerunner Ventures,28
Sequoia Capital,28
DST Global,29
Ribbit Capital,29
Greenoaks Capital Management,29
Tiger Global Management,30
Coatue Management,31
Sequoia Capital China,31
IDG Capital,31
Vickers Venture Partners,32
IKEA GreenTech,32
New Enterprise Associates,33
BDT Capital Partners,33
Davidson Kempner Capital Management,33
KKR,34
Tencent Holdings,34
Sequoia Capital China,34
Andreessen Horowitz,35
Spark Capital,35
Y Combinator,35
Caffeinated Capital,36
CRV,36
Founder Collective,36
Tencent Holdings,37
Lightspeed India Partners,37
Sequoia Capital India,37
LTW Capital,38
Legend Capital,38
Qualcomm Ventures,38
Initialized Capital,39
Y Combinator,39
Kleiner Perkins Caufield & Byers,39
Aviation Industry Corporation of China,40
Essence Financial,40
Jiangsu Sha Steel Group,40
Activant Capital,41
Tribe Capital,41
General Atlantic,41
DFJ Growth Fund,42
Coatue Management,42
Addition,42
Khosla Ventures,43
Kleiner Perkins Caufield & Byers,43
Collaborative Fund,43
MindWorks Ventures,44
Shunwei Capital Partners,44
Xiang He Capital,44
Insight Partners,45
Sequoia Capital,45
Index Ventures,45
General Catalyst Partners,46
Google Ventures,46
Kleiner Perkins Caufield & Byers,46
Sequoia Capital China,47
GX Capital,47
Y Combinator,48
Sequoia Capital,48
Coatue Management,48
DJF,49
Salesforce Ventures,49
Storm Ventures,49
Index Ventures,50
Draft Ventures,50
Felicis Ventures,50
Upper90,51
RiverPark Ventures,51
Advent International,51
Ribbit Capital,52
capitalG,52
Softbank Group,52
IDG Capital,53
Matrix Partners China,53
Jump Crypto,53
Bessemer Venture Partners,54
ICONIQ Capital,54
Battery Ventures,54
Sequoia Capital China,55
Tencent Investment,55
BA Capital,55
Redalpine Venture Partners,56
Earlybird Venture Capital,56
Valar Ventures,56
Summit Partners,57
Accel,57
Astral Capital,57
Andreessen Horowitz,58
Lightspeed Venture Partners,58
Zeev Ventures,58
Vattenfall,59
Volkswagen Group,59
Goldman Sachs,59
Andreessen Horowitz,60
Nor-Cal Invest,60
TPG Growth,60
Nintendo,61
Google,61
Pokemon Company International,61
Spark Capital,61
SoftBank Group,62
Sequoia Capital India,62
Lightspeed India Partners,62
Tiger Global Management,63
Sequoia Capital,63
Revo Capital,63
Target Global,64
General Catalyst,64
Durable Capital Partners,64
DST Global,65
SoftBank Group,65
Mountain Nazca,65
SoftBank Group,66
Greylock Partners,66
Gaorong Capital,66
Addition,67
Benhcmark,67
Accel,67
Sequoia Capital China,68
IDG Capital,68
DCM Ventures,68
Global Founders Capital,69
Nortzone Ventures,69
Picus Capital,69
Andreessen Horowitz,70
Founders Fund,70
Revolution Ventures,70
American Express Ventures,71
Goldman Sachs,71
Bain Capital Credit,71
Didi Chuxing,72
Diamler,72
TMT Investments,72
Sutter Hill Ventures,73
Liberty Global Ventures,73
Coatue Management,73
01 Advisors,74
Zeev Ventures,74
Group 11,74
New Enterprise Associates,75
T. Rowe Associates,75
Lightbank,75
D1 Capital Partners,76
Stripe,76
Coatue Management,76
Accel India,77
SAIF Partners,77
Norwest Venture Partners,77
Kaalari Capital,78
Tencent Holdings,78
Steadview Capital,78
Tenaya Capital,79
Coatue Management,79
Stripes Group,79
Bloomberg Beta,80
Founders Fund,80
First Round Capital,80
Tiger Global Management,81
American Express Ventures,81
B Capital Group,81
Sixth Street Partners,82
OrbiMed Advisors,82
Highland Capital Management,82
Union Square Ventures,83
Venrock,83
Andreessen Horowitz,83
Accel,84
Northzone Ventures,84
Institutional Venture Partners,84
Lightspeed Venture Partners,85
Social Capital,85
Accel,85
Sequoia Capital India,86
Tiger Global Management,86
Matrix Partners India,86
Insight Venture Partners,87
Lowercase Capital,87
Polaris Partners,87
Menlo Ventures,88
Spark Capital,88
Union Square Ventures,88
BOLDstart Ventures,89
Google Ventures,89
Accel,89
Accel,90
Y Combinator,90
Index Ventures,90
Norwest Venture Partners,91
Next World Capital,91
Wing Venture Capital,91
Morgan Creek Digital,92
Marcy Venture Partners,92
10T Fund,92
Bessemer Venture Partners,93
Qualcomm Ventures,93
Kleiner Perkins Caufield & Byers,93
Tencent,94
Morningside Group,94
Initialized Capital,95
General Catalyst,95
SignalFire,95
Third Point,96
Electric Capital,96
Coinbase Ventures,96
General Atlantic,97
Goldman Sachs,97
New Enterprise Associates,97
Slack Fund,98
Accel,98
Skip Capital,98
Institutional Venture Partners,99
Sequoia Capital,99
General Atlantic,99
Sequoia Capital China,100
Warburg Pincus,100
General Catalyst,100
IDG Capital,101
Bank Of China Group Investment,101
SDIC CMC Investment Management,101
TA Associates,102
SoftBank Group,102
GS Growth,102
Technology Crossover Ventures,103
Accel Partners,104
SoftBank Group,104
Sequoia Capital,104
BPI France,105
Kerala Ventures,105
Accel,105
Tiger Global Management,106
DST Global,106
Sequoia Capital India,106
New Enterprise Associates,107
Accomplice,107
IA Ventures,107
Union Square Ventures,108
Ribbit Capital,108
VY Capital,108
Atomico,109
Insight Partners,109
Coatue Management,109
Barter Ventures,110
Thrive Capital,111
Benchmark,111
MenloVentures,111
Warmsun Holding,112
IDG Capital Partners,112
Pine Brook,113
American Express Ventures,113
Kleiner Perkins Caufield & Byers,113
BlackRock,114
Blackstone,114
UBS,114
Venrock,115
Battery Ventures,115
Insight Partners,115
NextView Ventures,116
Eniac Ventures,116
Sequoia Capital,116
Alibaba Group,117
Boyu Capital,117
Borui Capital,117
Tencent,118
Baidu,118
Huasheng Capital,118
Technology Crossover Ventures,119
A&E Television Networks,119
Thrive Capital,120
Maverick Ventures,120
Redpoint Ventures,120
Battery Ventures,121
Storm Ventures,121
Redpoint Ventures,121
Aglae Ventures,122
Eurazeo,122
Daphni,122
Blackstone,123
Technology Crossover Ventures,123
Summit Partners,123
VY Capital,124
8VC,124
Craft Ventures,124
Nexus Venture Partners,125
CRV,125
Insight Partners,125
Matrix Partners,126
Andreessen Horowitz,126
General Catalyst,126
Highland Europe,127
Eurazeo,127
Canaan Partners,127
Founders Fund,128
Accel,128
Creandum,128
DST Global,129
Andreessen Horowitz,129
Sequoia Capital,129
Redpoint e.ventures,129
Index Ventures,130
Battery Ventures,130
ICONIQ Capital,130
Insight Partners,131
Kaszek Ventures,132
General Atlantic,132
SoftBank Group,132
Credit Suisse,133
Mubadala Capital,134
BOND,134
Prosus Ventures,134
Ant Financial Services Group,135
GGV Capital,135
DST Global,136
Sequoia Capital China,136
Tencent Holdings,136
Runa Capital,137
Acton Capital Partners,137
Point Nine Capital,137
Hillhouse Capital Management,138
Linear Venture,138
Morningside Venture Capital,138
General Atlantic,139
3i Group,139
Huagai Capital,139
Walden International,140
Google Ventures,140
Intel Capital,140
Accel,141
Technology Crossover Ventures,141
LeapFrog Investments,141
Clermont Group,142
Coltrane Asset Management,142
Toscafund Asset Management,142
Insight Partners,143
Andalusian Capital Partners,143
Matrix Partners India,144
Falcon Edge Capital,144
SoftBank Group,144
Google Ventures,145
Benchmark,145
FirstMark Capital,145
Sequoia Capital India,146
Temasek,146
PayPal Ventures,146
Alven Capital,147
Valar Ventures,147
Tencent Holdings,147
SoftBank Group,148
Tiger Global Management,148
Matrix Partners India,148
Eight Roads Ventures,149
Greycroft,149
Ignition Partners,149
Capital One Growth Ventures,150
Citi Ventures,150
OMERS Ventures,150
Falcon Edge Capital,151
Omidyar Network,151
Sequoia Capital India,151
India Quotient,152
Elevation Capital,152
Lightspeed Venture Partners,152
Two Sigma Ventures,153
Flint Capital,153
Commerce Ventures,153
Lightspeed Venture Partners,154
Lead Edge Capital,154
Coatue Management,154
Venture Highway,155
Sequoia Capital India,155
Prosus Ventures,155
Oak HC/FT Partners,156
Artis Ventures,156
WestCap Group,156
Kaszek Ventures,157
Amadeus Capital Partners,157
Quona Capital,157
Sierra Ventures,158
Battery Ventures,158
Asset Management Ventures,158
China Grand Prosperity Investment,159
Silk Road Huacheng,159
Oriza Equity Investment,159
Threshold Ventures,160
Lightspeed Venture Partners,160
Crosslink Capital,160
Creandum,161
Founders,161
Kinnevik,161
Advent International,162
General Catalyst,162
Insight Partners,162
Greylock Partners,163
Venrock,163
Providence Ventures,163
Y Combinator,164
Accel,164
T. Rowe Price,164
General Catalyst,165
Viking Global Investors,165
T. Rowe Price,165
Ontario Teachers' Pension Plan,166
Goldman Sachs,166
Accel,167
Insight Partners,167
Burda Principal Investments,167
Sequoia Capital China,168
Tencent Holdings,168
Sinovation Ventures,168
Two Sigma Ventures,169
Flint Capital,169
Commerce Ventures,169
Passion Capital,170
Thrive Capital,170
Orange Digital Ventures,170
CDH Investments,171
Goldstone Investments,171
Qiming Venture Partners,171
Salesforce Ventures,172
Seedcamp,172
OMERS Ventures,172
Chiratae Ventures,173
PremjiInvest,173
Softbank,173
Google,174
Mayfield Fund,175
M12,175
Trinity Ventures,175
Atop Capital,176
IDInvest Partners,176
Qiming Venture Partners,176
General Atlantic,177
Blackstone,177
ICONIQ Growth,177
Lightspeed Venture Partners,178
Redpoint Ventures,178
Viking Global Investors,178
KKR,179
ES Ventures,179
North Bridge Growth Equity,179
Benchmark,180
Accel,180
SoftBank Group,180
Playground Global,181
BOND,181
Tribe Capital,181
Sequoia Capital China,182
Qiming Venture Partners,182
Tencent Holdings,182
Lightspeed Venture Partners,183
Khosla Ventures,183
Geodesic Capital,183
Vista Equity Partners,184
Wincove,184
TDR Capital,184
Andreessen Horowitz,185
Amplify Partners,185
Sequoia Capital,185
Sequoia Capital,186
Venrock,187
Institutional Venture Partners,187
Goldman Sachs,187
Speedinvest,188
Valar Ventures,188
Uniqa Ventures,188
Goodwater Capital,189
iFly,189
XVC Venture Capital,189
RedBird Capital Partners,190
CJ ENM,190
Tencent Holdings,190
New Enterprise Associates,191
Sequoia Capital,191
Comcast Ventures,191
Formation 8,192
Ant Financial Services Group,193
Russia-China Investment Fund,193
Foxconn Technology Company,193
SoftBank Group,194
General Atlantic,194
Khosla Ventures,195
Horizons Ventures,195
Temasek Holdings,195
New Enterprise Associates,196
Starr Investment Holdings,196
Zeev Ventures,197
Ribbit Capital,197
TLV Partners,197
Index Ventures,198
Thrive Capital,198
CRV,198
Dragoneer Investment Group,199
Hellman & Friedman,199
JMI Equity,199
Sequoia Capital,200
Bessemer Venture Partners,200
Threshold Ventures,200
Andreessen Horowitz,201
TQ Ventures,201
Accel,202
Insight Partners,202
Bond Capital,202
Drive Capital,203
General Catalyst,203
Ascension Ventures,203
Greylock Partners,204
Lightspeed Venture Partners,204
Khosla Ventures,204
Accel,205
Aleph,205
American Express Ventures,205
SoftBank Group,206
Norwest Venture Partners,206
Georgian Partners,207
Craft Ventures,207
Benchmark,208
Foundation Capital,208
Sequoia Capital,208
Blackrock,209
Kleiner Perkins Caulfield & Byers,209
Google Ventures,209
New Enterprise Associates,210
Pear,210
Cowboy Ventures,210
Fifth Wall Ventures,211
Energize Ventures,211
ICONIQ Capital,211
Accel,212
Silversmith Capital Partners,212
capitalG,212
Andreessen Horowitz,213
Thrive Capital,213
Sound Ventures,213
Fairfax Financial Holdings,214
A91 Partners,214
TVS Capital,214
Greylock Partners,215
Insight Partners,215
Menlo Ventures,215
China Health Industry Investment Fund,216
China Renaissance,216
Sequoia Capital China,216
New Enterprise Associates,217
New Leaf Venture Partners,217
Charter Venture Capital,217
Google Ventures,218
Battery Ventures,218
DST Global,218
Y Combinator,219
Atomico,219
Accel,219
Greylock Partners,220
capitalG,220
Y Combinator,220
Blackstone,221
ICONIQ Growth,221
General Atlantic,221
Casa Verde Capital,222
Gron Ventures,222
Thrity Five Ventures,222
SoftBank Group,223
Sequoia Capital,223
Wing Venture Capital,223
Alven Capital,224
FirstMark Capital,224
capitalG,224
Norwest Venture Partners,225
Goldman Sachs,225
Dell Technologies Capital,225
Upfront Ventures,226
Webb Investment Network,226
D1 Capital Partners,226
Qualcomm Ventures,227
Samsung Ventures,227
Silver Lake,227
Breakthrough Energy Ventures,228
Capricorn Investment Group,228
Valor Equity Partners,228
Bessemer Venture Partners,229
Insight Partners,229
New Era Ventures,229
Hillhouse Capital Management,230
SoftBank Group,230
Qiming Venture Partners,230
Menlo Ventures,231
Alkeon Capital Management,231
Citi Ventures,231
Y Combinator,232
Andreessen Horowitz,232
Wonder Ventures,232
01 Advisors,233
Kleiner Perkins Caufield & Byers,233
Andreessen Horowitz,233
Silver Lake,234
ICONIQ Capital,234
NextView Ventures,235
Promus Ventures,235
Two Sigma Ventures,235
Andreessen Horowitz,236
Lux Capital,236
General Catalyst,236
NewView Capital,237
Maveron,237
Ridge Ventures,237
Dragoneer Investment Group,238
DST Global,238
Franklin Templeton,238
EQT Partners,239
Activant Capital Group,240
Alaska Permanent Fund,240
Baillie Gifford & Co.,240
Kuang-Chi,241
First Round Capital,242
Sequoia Capital,242
Index Ventures,242
General Catalyst,243
HCA Healthcare,243
Elaia Partners,244
83North,244
Felix Capital,244
Airbus Ventures,245
Index Ventures,245
Advent International,245
WestCap Group,246
Caisse de depot et placement du Quebec,246
DN Capital,247
Left Lane Capital,247
Coatue Management,247
Madrona Venture Group,248
Shasta Ventures,248
Salesforce Ventures,248
Kleiner Perkins Caufield & Byers,249
Lightspeed Venture Partners,249
True Ventures,249
Insight Partners,250
Tiger Global Management,250
Accel,250
Matrix Partners,251
Initialized Capital,251
Tiger Global Management,251
Mithril Capital Management,252
Y Combinator,252
Capricorn Investment Group,252
Goldman Sachs,253
VebVentures,253
Insight Partners,253
Blume Ventures,254
Nexus Venture Partners,254
Sequoia Capital India,254
Summit Partners,255
Noshaq,255
Sofinnova Partners,255
New Enterprise Associates,256
Coatue Management,256
Tiger Global Management,256
Tiger Global Management,257
Kalaari Capital,257
Andreessen Horowitz,258
SoftBank Group,258
Temasek Holdings,258
China Environmental Protection Industry,259
China Fortune Ocean,259
Insight Partners,260
Salesforce Ventures,260
Vertex Ventures,260
Index Ventures,261
Coatue Management,261
Andreessen Horowitz,261
Bessemer Venture Partners,262
Sutter Hill Ventures,262
Matrix Partners,262
Greycroft,263
Sands Capital,263
Revolution Growth,263
Andreessen Horowitz,264
IA Ventures,264
Felicis Ventures,264
Sequoia Capital China,265
DST Global,265
DST Global,265
Moore Strategic Ventures,266
DST Global,266
Sequoia Capital India,266
BOLDstart Ventures,267
Lerer Hippeau,267
Kenetic Capital,267
Alibaba Pictures Group,268
Institutional Venture Partners,269
Atomico,269
Earlybird Venture Capital,269
Intel Capital,270
Sutter Hill Ventures,270
VentureTech,270
Tiger Global,271
Sequoia Capital,271
Google Capital,271
Thrive Capital,272
Founders Fund,272
Cocnord Health Partners,272
Sequoia Capital India,273
Softbank,273
Bertelsmann India Investments,273
AME Cloud Ventures,274
Future Perfect Ventures,274
Blockchain Capital,274
M12,275
WestBridge Capital,275
Lightspeed Venture Partners,275
Accel,276
Sequoia Capital,276
Y Combinator,276
Thrive Capital,277
Alliance Consumer Growth,277
Imaginary Ventures,277
The Column Group,278
Foresite Capital,278
Foresite Capital,278
Sequoia Capital,279
next47,280
First Round Capital,280
Sequoia Capital,280
Playground Global,281
M12,281
BlackRock,281
DST Global,282
Lightspeed Venture Partners,282
Microsoft ScaleUp,282
Susquehanna Growth Equity,283
Citi Ventures,283
ICONIQ Capital,283
Kaszek Ventures,284
Qualcomm Ventures,284
Accel,284
Sequoia Capital China,285
Sina Weibo,285
Kleiner Perkins Caufield & Byers,285
Redpoint Ventures,285
Global Founders Capital,286
East Ventures,286
Expedia Inc.,286
Morningside Ventures,287
Warburg Pincus,287
CreditEase Fintech Investment Fund,287
CPP Investment Board,288
General Catalyst,289
Digital Currency Group,289
Accel,289
Sequoia Capital China,290
Xiang He Capital,290
GGV Capital,290
Holtzbrinck Ventures,291
Unternehmertum Venture Capital,291
General Atlantic,291
Benchmark,292
Bessemer Venture Partners,292
Artiman Ventures,293
Plug and Play Ventures,293
Anthos Capital,293
Sequoia Capital Israel,294
Scale Venture Partners,294
Commerce Ventures,294
ICONIQ Capital,295
OpenView Venture Partners,295
ConsenSys Ventures,296
Valar Ventures,296
PUC,296
Silversmith Capital Partners,297
Susquehanna Growth Equity,297
Tiger Global Management,297
Cambridge Innovation Capital,298
LGT Capital Partners,298
Escala Capital,298
Spectrum Equity,299
ICONIQ Capital,299
Grayhawk Capital,299
Iconiq Capital,300
Brookfield Asset Management,301
Blackstone,301
Data Collective,301
Balderton Capital,302
General Catalyst,302
Tiger Global Management,302
Uncork Capital,303
Threshold Ventures,303
Bloomberg Beta,303
Jackson Square Ventures,304
General Atlantic,304
Lightspeed Venture Partners,304
Fabric Ventures,305
500 Global,305
Standard Crypto,305
Uniion Square Ventures,306
Tiger Global Management,306
Lightspeed Venture Capital,306
Tiger Global Management,307
Insight Partners,307
Jump Capital,307
Tiger Global Management,308
Sequoia Capital India,308
Ribbit Capital,308
Accel,309
Summit Partners,309
Google Ventures,309
83North,310
RiverPark Ventures,310
Pitango Venture Capital,310
Andreessen Horowitz,311
Blockchain Capital,311
Lux Capital,311
Coatue Management,312
BMO Capital,312
Schonfeld Strategic Advisors,312
Khosla Ventures,313
Thrive Capital,313
Y Combinator,313
Green Visor Capital,314
CRE Venture Capital,314
Greycroft,314
Tiger Global Management,315
Tiger Brokers,315
DCM Ventures,315
Battery Ventures,316
Andreessen Horowitz,316
Ribbit Capital,316
Index Ventures,317
Sequoia Capital,317
General Catalyst,317
New Enterprise Associates,318
Accel,318
BOND,318
Bnk To The Future,319
Trammell Ventures,319
SBI Investment,319
Founders Fund,320
Quantum Energy Partners,320
Bedrock Capital,320
Monashees+,321
Andreessen Horowitz,321
QED Investors,321
Insight Partners,322
Sequoia Capital India,322
BEENEXT,322
IDG Capital,323
Puluo Capital,323
Midea Capital,323
Point72 Ventures,324
Route 66 Ventures,324
Accel,324
Index Ventures,325
Temasek,325
Portag3 Ventures,325
Tiger Global Management,326
Blue Lake Capital,326
ZhenFund,326
Sequoia Capital,327
Baillie Gifford & Co.,327
Google Ventures,327
MidOcean Partners,328
Dell Technologies Capital,329
Pitango Venture Capital,329
Amadeus Capital Partners,329
Data Collective,330
Formation 8,330
General Catalyst Partners,330
Institutional Venture Partners,331
New Enterprise Associates,331
Javelin Venture Partners,331
Makers Fund,332
Index Ventures,332
Inova Ventures Participacees,332
General Atlantic,333
Insight Partners,333
Vintage Investment Partners,333
HD Capital,334
Qihoo 360 Technology,334
China Fortune Land Development,334
Notion Capital,335
Scentan Ventures,335
Kite Ventures,335
Goldman Sachs Asset Management,336
Forest Partners,337
Softbank Ventures Asia,337
KKR,338
British Patient Capital,339
SEB Venture Capital,339
IQ Capital,339
JTC Group,340
Qatar Investment Authority,340
Fidelity Investment,340
Motive Partners,341
General Atlantic,342
Piton Capital,342
Partech Partners,342
Redpoint Ventures,343
Goldcrest Capital,343
Insight Partners,343
Contour Venture Partners,344
Battery Ventures,344
Core Capital Partners,344
Insight Partners,345
Jackson Square Ventures,345
Liberty Gloval Ventures,345
Jungle Ventures,346
Accel,346
Venture Highway,346
Vertex Ventures Israel,347
Bessemer Venture Partners,347
Emerge,347
JD.com,348
Baidu,348
Vision Plus Capital,348
Foundry Group,349
General Atlantic,349
BlackRock,349
Big Bets,350
General Atlantic,350
SOFTBANK Latin America Ventures,350
Forerunner Ventures,351
Lifeline Ventures,351
MSD Capital,351
Khosla Ventures,352
Horizons Ventures,352
Founders Fund,352
Institutional Venture Partners,353
CRV,353
Sequoia Capital,353
BMW i Ventures,354
BHP Ventures,354
Rhone Capital,355
FAW Group,356
Tencent Holdings,356
Tus Holdings,356
Coatue Managemeny,357
Trinity Ventures,357
Matrix Partners,357
Accel,358
Tiger Global Management,358
Nexus Venture Partners,358
Warburg Pincus,359
The Rise Fund,359
HarbourVest Partners,359
Aspect Ventures,360
SingTel Innov8,360
Greylock Partners,360
Warburg Pincus,361
General Catalyst,361
CRV,362
Accel,362
Google Ventures,362
Accel,363
Bain Capital Ventures,363
Insight Partners,363
Sequoia Capital India,364
Kae Capital,364
Accel,364
Chiratae Ventures,365
March Capital Partners,365
National Grid Partners,365
The Blue Venture Fund,366
Flare Capital Partners,366
Longitude Capital,366
Fabric Ventures,367
AirTree Ventures,367
Temasek,367
Stripes Group,368
Neuberger Berman,368
Sutter Hill Ventures,369
Osage University Partners,369
Spark Capital,369
Tiger Global Management,370
The Raine Group,370
Malabar Investments,370
Greycroft,371
Loeb.NYC,371
DST Global,371
GIC. Apis Partners,372
Insight Partners,372
Bessemer Venture Partners,373
Pitango Venture Capital,373
D1 Capital Partners,373
Bessemer Venture Partners,374
Eight Roads Ventures,374
Battery Ventures,374
Soros Fund Management,375
Ribbit Capital,375
Monashees+,375
Sequoia Capital India,376
RTP Global,376
Go-Ventures,376
SoftBank Group,377
CRV,377
Spark Capital,377
Shunwei Capital Partners,378
China Media Group,378
Guangzhou Huiyin Aofeng Equity Investment Fund,378
Shunwei Capital Partners,379
China Media Group,379
Guangzhou Huiyin Aofeng Equity Investment Fund,379
Romulus Capital,380
Insight Partners,380
RedBird Capital Partners,380
Google Ventures,381
Sequoia Capital,381
Wakefield Group,381
Square Peg Capital,382
TDM Growth Partners,382
Tiger Global Management,382
Info Edge,383
Softbank Capital,383
Liberty City Ventures,384
RRE Ventures,384
Mithril Capital Management,384
Norwest Venture Partners,385
Aspect Ventures,385
Lightspeed Venture Partners,385
Menlo Ventures,386
GGV Capital,386
Flybridge Capital Partners,386
T. Rowe Price,387
Dragoneer Investment Group,387
BlackRock,387
T. Rowe Price,388
Lockheed Martin Ventures,388
Fidelity Investment,388
Norwest Venture Partners,389
Hillsven Capital,389
Aleph,389
The Rise Fund,390
Fidelity Investments,390
RedBird Capital Partners,390
Emergence Capital,391
8VC,391
Chicago Ventures,391
Andreessen Horowitz,392
Data Collective,392
Roche Venture Fund,392
Octopus Ventures,393
Munich Re Ventures,393
CommerzVentures,393
Kibo Ventures,394
SoftBank Group,394
Atomico,394
IMM Investment,395
NXC,395
V FUND,396
IDG Capital,396
Green Pine Capital Partners,396
Tencent Holdings,397
Goldman Sachs,397
Andreessen Horowitz,398
Homebrew,398
Point72 Ventures,398
Revolution,399
New Enterprise Associates,399
Caterpillar,399
Google Ventures,400
Index Ventures,400
Scale Venture Partners,400
Relay Ventures,401
TTV Capital,401
Canapi Ventures,401
Temasek,402
Google Ventures,402
General Catalyst,402
Goodwater Capital,403
Warburg Pincus,403
GS Growth,403
Softbank Group,404
AME Cloud Ventures,404
SignalFire,404
Accel,405
Alven Capital,405
Storm Ventures,405
Knox Lane,406
Ainge Advisory,406
Carlson Private Capital Partners,406
Founders Fund,407
Meritech Capital Partners,407
GS Growth,407
General Atlantic,408
Andreessen Horowitz,409
Andreessen Horowitz,409
Institutional Venture Partners,409
Accel,409
Sequoia Capital,410
Expa,411
QED Investors,411
Foundation Capital,411
Pantera Capital,412
QED Investors,412
Coinbase Ventures,412
General Atlantic,413
